playcounts,name,fav,introduce,director,step,actor
,炼爱,,简介：一场世纪豪华婚礼的举行，将不同世界里的上官雪儿和武天祥牢牢纠缠在一起。单纯善良的新娘上官雪儿如愿嫁给了爱她如命的武天祥，她住进了让她隐有不安的百合楼婚房，答应爱人新婚蜜月间断绝与外界的一切信息。原本甜蜜浪漫的蜜月，随着玫瑰楼里那个神秘活死人的觉醒，被彻底撕碎。新婚之夜，武天祥态度与大变，突然扔下雪儿疯一般跑去了庄园里的那座玫瑰楼；自此之后，武天祥像换了一个人一样，每晚都会去神秘的玫瑰楼过夜，明明那么爱雪儿却对她极尽折磨，宁愿离婚也要让她逃离这个庄园；最熟悉的闺蜜也变得很陌生，似真似假的友情让雪儿痛苦不堪；而这一切的谜团似乎都直指那座玫瑰楼里的秘密还有雪儿……,褚会林,,"刘前程,金泊含"
,七宗罪之爱欲深,,简介：《七宗罪之爱欲深》但丁在神曲里根据恶行的严重性顺序排列七宗罪。,"李政霖,任翔,刘伟忠",,"辛柔,陈鹏"
,大宋夜总汇之梦回青楼,,简介：失意的足球运动员欧阳(小北)在一次意外之中穿越回了宋朝，之后在宋朝开展的一段啼笑皆非的事情，之后成为了人生赢家的故事。,闫石,,"王鲁,徐千京"
,罪魔女,,简介：这是一个都市性感美女用宝盒满足欲望的故事。性感妖娆的物质美女胡蝶在朋友们给自己举办的22岁生日聚会上得到了一个神秘人送的宝盒。神秘人声称此宝盒能满足胡蝶所有的愿望，只要胡蝶把自己想要东西的名字写在卡片上放进宝盒里，愿望就会实现。此后，欲望爆棚的胡蝶先后写下各种自己想要的东西和钱财，而在她每次得到一样物质和钱财的同时也会伴随着一宗罪恶的发生，欲望不断递增罪恶就不断升级，罪恶的升级，连续的命案让胡蝶心理逐步走向恐惧自责的深渊，其实这一切最终都源于一场精心策划的阴谋……,张破天,,"任娇,张大雷,胡光子"
,桃色迷局,,简介：一个不甘在酒吧做事的舞女茉莉卡，一心想要自由的生活，联合了3个陷入窘途的男人文哥、小强、胡少，他们准备策划一起抢劫案，这4个各怀鬼胎的人，一个想黑吃黑的债主玉姐，钱最终会落入谁手……,朱苏,,"郭芯榕,苏德伦,郜玄铭,徐浩然"
,艳尸猎手,,简介：剧情简介：这是一个曲折的爱情故事。富家子弟金淳渐，与名模舒媚娇是天设地造一对情侣，金淳渐处处疼爱、忍让舒媚娇，舒媚娇视金淳渐为偶像，为金淳渐排忧解难、嘘寒问暖，两人感情深厚、相濡以沫。,九九,,"刘明明,安瑞甜,九九娟,刘杰然"
,泡王,,简介：纵横情场十年的终极高手谢少峰，古风Boy叶良辰，憨态可掬赵日天，平凡小妹贾茹，四人凑一起开了一家泡妞公司，成为最牛的情感委托专家。这四个性格迥异的年轻人在争吵和嬉笑间逐渐成长，为慕名而来的委托者解决各种各样的情感需求，打造一个又一个“完美约会”。,道格·艾格·lee,,"郑梦瑶,方子健,朱永媛"
,尸地伏魔,,简介：二十年前，葛云清贪炼邪术，被天师道赶出师门，心生怨气，恰在此时极阴之命张超出生，此命活不过二十，也是炼制血尸的必要一环，葛云清便带着女儿葛倩倩与徒弟王童来到此地，隐姓埋名，就等二十年后炼成血尸，以报二十年前被逐之辱。二十年后，恰逢月圆之夜，也正是炼尸之际。徒弟王童发现师傅形迹诡异，心生怀疑，此时村中赵强被尸毒感染，王童渐渐发现，师傅脚底的白灰，衣服上缝补的痕迹，感染尸毒的赵强，种种疑点都指向了师傅，此时的他该怎样面对有养育之恩的师傅？,李飞,,"钟云鹏,付梦竹"
,欲望出租房,,简介：心高气傲、身材骄人的余小娥，跟老公小申来城里打工。这对农村青年小夫妻开始并不顺利，租住的房子简单破旧。余小娥找工作屡次失败又被房东老太奚落，整日情绪恶劣，态度恶劣， 直到逛街时被大商场成衣店的老板看上。单纯而虚荣的小娥一步步陷入了老板的圈套，一个“螳螂捕蝉”的故事上演了。,吴明生,,"朱永媛,李昊天,田志斌,梁婉琦"
,舞女抢劫案,,简介：一个不甘在酒吧做事的舞女茉莉卡，一心想要自由的生活，联合了3个陷入窘途的男人文哥、小强、胡少，他们准备策划一起抢劫案，这4个各怀鬼胎的人，一个想黑吃黑的债主玉姐，钱最终会落入谁手？,朱苏,,"苏德伦,郜玄铭,段冉,刘若妍"
